month_year,match_status,Police_district_Number,count
2019-02,Match,5D,98
2019-02,Match,6D,188
2019-03,Crime,1D,59
2019-03,Crime,2D,37
2019-03,Crime,3D,148
2019-03,Crime,4D,127
2019-03,Crime,5D,39
2019-03,Crime,6D,65
2019-03,Crime,TPPD,65
2019-03,Crime,Unknown,2
2019-03,Dispatch,1D,2578
2019-03,Dispatch,2D,2357
2019-03,Dispatch,3D,2914
2019-03,Dispatch,4D,3062
2019-03,Dispatch,5D,2082
2019-03,Dispatch,6D,2646
2019-03,Match,1D,278
2019-03,Match,2D,287
2019-03,Match,3D,328
2019-03,Match,4D,233
2019-03,Match,5D,113
2019-03,Match,6D,205
2019-03,Match,Unknown,2
2019-04,Crime,1D,48
2019-04,Crime,2D,40
2019-04,Crime,3D,181
2019-04,Crime,4D,94
2019-04,Crime,5D,24
2019-04,Crime,6D,62
2019-04,Crime,TPPD,72
2019-04,Dispatch,1D,2594
2019-04,Dispatch,2D,2477
2019-04,Dispatch,3D,3036
2019-04,Dispatch,4D,3110
2019-04,Dispatch,5D,2201
2019-04,Dispatch,6D,2875
2019-04,Dispatch,OOC,2
2019-04,Match,1D,267
2019-04,Match,2D,296
2019-04,Match,3D,313
2019-04,Match,4D,258
2019-04,Match,5D,110
2019-04,Match,6D,191
2019-05,Crime,1D,53
2019-05,Crime,2D,37
2019-05,Crime,3D,189
2019-05,Crime,4D,80
2019-05,Crime,5D,32
2019-05,Crime,6D,53
2019-05,Crime,TPPD,81
2019-05,Crime,Unknown,1
2019-05,Dispatch,1D,2913
2019-05,Dispatch,2D,2709
2019-05,Dispatch,3D,3465
2019-05,Dispatch,4D,3312
2019-05,Dispatch,5D,2373
2019-05,Dispatch,6D,3122
2019-05,Dispatch,OOC,1
2019-05,Match,1D,285
2019-05,Match,2D,235
2019-05,Match,3D,370
2019-05,Match,4D,264
2019-05,Match,5D,108
2019-05,Match,6D,227
2019-06,Crime,1D,59
2019-06,Crime,2D,25
2019-06,Crime,3D,135
2019-06,Crime,4D,62
2019-06,Crime,5D,33
2019-06,Crime,6D,49
2019-06,Crime,TPPD,63
2019-06,Crime,Unknown,2
2019-06,Dispatch,1D,2651
2019-06,Dispatch,2D,2602
2019-06,Dispatch,3D,3174
2019-06,Dispatch,4D,3244
2019-06,Dispatch,5D,2157
2019-06,Dispatch,6D,2875
2019-06,Dispatch,OOC,2
2019-06,Match,1D,283
2019-06,Match,2D,231
2019-06,Match,3D,333
2019-06,Match,4D,262
2019-06,Match,5D,106
2019-06,Match,6D,215
2019-07,Crime,1D,55
2019-07,Crime,2D,20
2019-07,Crime,3D,151
2019-07,Crime,4D,70
2019-07,Crime,5D,28
2019-07,Crime,6D,60
2019-07,Crime,TPPD,60
2019-07,Dispatch,1D,2818
2019-07,Dispatch,2D,2646
2019-07,Dispatch,3D,3373
2019-07,Dispatch,4D,3255
