month_year,match_status,Police_district_Number,count
2022-02,Match,5D,125
2022-02,Match,6D,181
2022-02,Match,Unknown,2
2022-03,Crime,1D,49
2022-03,Crime,2D,19
2022-03,Crime,3D,57
2022-03,Crime,4D,38
2022-03,Crime,5D,34
2022-03,Crime,6D,28
2022-03,Crime,TPPD,48
2022-03,Dispatch,1D,2293
2022-03,Dispatch,2D,2253
2022-03,Dispatch,3D,2751
2022-03,Dispatch,4D,2878
2022-03,Dispatch,5D,1778
2022-03,Dispatch,6D,2320
2022-03,Match,1D,329
2022-03,Match,2D,318
2022-03,Match,3D,286
2022-03,Match,4D,253
2022-03,Match,5D,154
2022-03,Match,6D,201
2022-03,Match,TPPD,1
2022-03,Match,Unknown,1
2022-04,Crime,1D,33
2022-04,Crime,2D,21
2022-04,Crime,3D,40
2022-04,Crime,4D,42
2022-04,Crime,5D,20
2022-04,Crime,6D,28
2022-04,Crime,TPPD,58
2022-04,Crime,Unknown,1
2022-04,Dispatch,1D,2370
2022-04,Dispatch,2D,2301
2022-04,Dispatch,3D,2802
2022-04,Dispatch,4D,2600
2022-04,Dispatch,5D,1902
2022-04,Dispatch,6D,2380
2022-04,Dispatch,OOC,1
2022-04,Match,1D,259
2022-04,Match,2D,298
2022-04,Match,3D,252
2022-04,Match,4D,206
2022-04,Match,5D,164
2022-04,Match,6D,196
2022-04,Match,Unknown,2
2022-05,Crime,1D,25
2022-05,Crime,2D,27
2022-05,Crime,3D,55
2022-05,Crime,4D,32
2022-05,Crime,5D,35
2022-05,Crime,6D,33
2022-05,Crime,TPPD,65
2022-05,Crime,Unknown,4
2022-05,Dispatch,1D,2546
2022-05,Dispatch,2D,2430
2022-05,Dispatch,3D,2964
2022-05,Dispatch,4D,3107
2022-05,Dispatch,5D,2091
2022-05,Dispatch,6D,2599
2022-05,Match,1D,270
2022-05,Match,2D,295
2022-05,Match,3D,323
2022-05,Match,4D,237
2022-05,Match,5D,176
2022-05,Match,6D,181
2022-05,Match,Unknown,56
2022-06,Crime,1D,26
2022-06,Crime,2D,18
2022-06,Crime,3D,60
2022-06,Crime,4D,18
2022-06,Crime,5D,26
2022-06,Crime,6D,33
2022-06,Crime,TPPD,61
2022-06,Dispatch,1D,2499
2022-06,Dispatch,2D,2430
2022-06,Dispatch,3D,3076
2022-06,Dispatch,4D,2938
2022-06,Dispatch,5D,2042
2022-06,Dispatch,6D,2645
2022-06,Dispatch,OOC,1
2022-06,Dispatch,PCW,1
2022-06,Match,1D,289
2022-06,Match,2D,285
2022-06,Match,3D,270
2022-06,Match,4D,239
2022-06,Match,5D,147
2022-06,Match,6D,209
2022-07,Crime,1D,28
2022-07,Crime,2D,14
2022-07,Crime,3D,47
2022-07,Crime,4D,40
2022-07,Crime,5D,15
2022-07,Crime,6D,35
2022-07,Crime,TPPD,55
2022-07,Crime,Unknown,2
2022-07,Dispatch,1D,2562
2022-07,Dispatch,2D,2271
2022-07,Dispatch,3D,3035
2022-07,Dispatch,4D,2806
2022-07,Dispatch,5D,1995
2022-07,Dispatch,6D,2677
2022-07,Match,1D,301
2022-07,Match,2D,278
2022-07,Match,3D,309
2022-07,Match,4D,251
2022-07,Match,5D,152
2022-07,Match,6D,242
2022-07,Match,Unknown,1
2022-08,Crime,1D,27
2022-08,Crime,2D,26
2022-08,Crime,3D,69
2022-08,Crime,4D,21
2022-08,Crime,5D,28
2022-08,Crime,6D,24
2022-08,Crime,TPPD,74
2022-08,Dispatch,1D,2547
2022-08,Dispatch,2D,2301
2022-08,Dispatch,3D,2753
2022-08,Dispatch,4D,2864
2022-08,Dispatch,5D,1935
2022-08,Dispatch,6D,2623
2022-08,Match,1D,328
2022-08,Match,2D,293
2022-08,Match,3D,283
2022-08,Match,4D,314
2022-08,Match,5D,154
2022-08,Match,6D,215
2022-08,Match,Unknown,3
2022-09,Crime,1D,29
2022-09,Crime,2D,21
2022-09,Crime,3D,49
2022-09,Crime,4D,34
2022-09,Crime,5D,26
2022-09,Crime,6D,22
2022-09,Crime,TPPD,68
2022-09,Dispatch,1D,2385
2022-09,Dispatch,2D,2125
2022-09,Dispatch,3D,2927
2022-09,Dispatch,4D,2752
2022-09,Dispatch,5D,1875
2022-09,Dispatch,6D,2465
2022-09,Match,1D,314
2022-09,Match,2D,253
2022-09,Match,3D,382
2022-09,Match,4D,286
2022-09,Match,5D,182
2022-09,Match,6D,240
2022-09,Match,Unknown,1
2022-10,Crime,1D,29
2022-10,Crime,2D,26
2022-10,Crime,3D,46
2022-10,Crime,4D,26
2022-10,Crime,5D,43
2022-10,Crime,6D,29
2022-10,Crime,TPPD,47
2022-10,Crime,Unknown,1
2022-10,Dispatch,1D,2374
2022-10,Dispatch,2D,2264
2022-10,Dispatch,3D,2907
2022-10,Dispatch,4D,2964
2022-10,Dispatch,5D,2051
2022-10,Dispatch,6D,2640
2022-10,Dispatch,OOC,1
2022-10,Match,1D,329
2022-10,Match,2D,334
2022-10,Match,3D,317
2022-10,Match,4D,276
2022-10,Match,5D,159
2022-10,Match,6D,232
2022-10,Match,Unknown,2
2022-11,Crime,1D,40
2022-11,Crime,2D,25
2022-11,Crime,3D,53
2022-11,Crime,4D,33
2022-11,Crime,5D,37
2022-11,Crime,6D,30
2022-11,Crime,TPPD,51
2022-11,Dispatch,1D,2395
2022-11,Dispatch,2D,2137
2022-11,Dispatch,3D,2930
2022-11,Dispatch,4D,2659
2022-11,Dispatch,5D,1857
2022-11,Dispatch,6D,2581
2022-11,Dispatch,OOC,3
2022-11,Match,1D,319
2022-11,Match,2D,278
2022-11,Match,3D,309
2022-11,Match,4D,270
2022-11,Match,5D,180
2022-11,Match,6D,198
2022-12,Crime,1D,34
2022-12,Crime,2D,26
2022-12,Crime,3D,47
2022-12,Crime,4D,28
2022-12,Crime,5D,46
2022-12,Crime,6D,23
2022-12,Crime,TPPD,60
2022-12,Crime,Unknown,2
2022-12,Dispatch,1D,2317
2022-12,Dispatch,2D,2237
2022-12,Dispatch,3D,2926
2022-12,Dispatch,4D,2704
2022-12,Dispatch,5D,1868
2022-12,Dispatch,6D,2536
2022-12,Match,1D,351
2022-12,Match,2D,304
2022-12,Match,3D,321
2022-12,Match,4D,296
2022-12,Match,5D,155
2022-12,Match,6D,206
2022-12,Match,TPPD,1
2022-12,Match,Unknown,2
2023-01,Crime,1D,33
2023-01,Crime,2D,38
2023-01,Crime,3D,50
2023-01,Crime,4D,32
2023-01,Crime,5D,43
2023-01,Crime,6D,22
2023-01,Crime,TPPD,69
2023-01,Crime,Unknown,1
2023-01,Dispatch,1D,2228
2023-01,Dispatch,2D,2123
2023-01,Dispatch,3D,2818
2023-01,Dispatch,4D,2695
2023-01,Dispatch,5D,1810
2023-01,Dispatch,6D,2474
2023-01,Dispatch,OOC,1
2023-01,Match,1D,353
2023-01,Match,2D,309
2023-01,Match,3D,284
2023-01,Match,4D,277
2023-01,Match,5D,145
2023-01,Match,6D,208
2023-01,Match,Unknown,2
2023-02,Crime,1D,29
2023-02,Crime,2D,25
2023-02,Crime,3D,40
2023-02,Crime,4D,60
2023-02,Crime,5D,41
2023-02,Crime,6D,27
2023-02,Crime,TPPD,69
2023-02,Dispatch,1D,2160
2023-02,Dispatch,2D,2047
2023-02,Dispatch,3D,2790
2023-02,Dispatch,4D,2548
2023-02,Dispatch,5D,1604
2023-02,Dispatch,6D,2361
2023-02,Dispatch,OOC,1
2023-02,Match,1D,307
2023-02,Match,2D,259
2023-02,Match,3D,280
2023-02,Match,4D,286
2023-02,Match,5D,125
2023-02,Match,6D,196
2023-02,Match,Unknown,2
2023-03,Crime,1D,28
2023-03,Crime,2D,25
2023-03,Crime,3D,60
2023-03,Crime,4D,49
2023-03,Crime,5D,45
2023-03,Crime,6D,25
2023-03,Crime,TPPD,97
2023-03,Dispatch,1D,2358
2023-03,Dispatch,2D,2266
2023-03,Dispatch,3D,3200
2023-03,Dispatch,4D,3014
2023-03,Dispatch,5D,1890
2023-03,Dispatch,6D,2703
2023-03,Dispatch,OOC,1
2023-03,Match,1D,316
2023-03,Match,2D,239
2023-03,Match,3D,289
2023-03,Match,4D,367
2023-03,Match,5D,155
2023-03,Match,6D,193
2023-03,Match,Unknown,1
2023-04,Crime,1D,39
2023-04,Crime,2D,19
2023-04,Crime,3D,47
2023-04,Crime,4D,51
2023-04,Crime,5D,38
2023-04,Crime,6D,21
2023-04,Crime,TPPD,85
2023-04,Crime,Unknown,1
2023-04,Dispatch,1D,2497
2023-04,Dispatch,2D,2298
2023-04,Dispatch,3D,3062
2023-04,Dispatch,4D,2905
2023-04,Dispatch,5D,1860
2023-04,Dispatch,6D,2539
2023-04,Dispatch,OOC,1
2023-04,Match,1D,286
2023-04,Match,2D,308
2023-04,Match,3D,350
2023-04,Match,4D,296
2023-04,Match,5D,129
2023-04,Match,6D,169
2023-05,Crime,1D,30
2023-05,Crime,2D,30
2023-05,Crime,3D,36
2023-05,Crime,4D,34
2023-05,Crime,5D,33
2023-05,Crime,6D,23
2023-05,Crime,TPPD,55
2023-05,Crime,Unknown,1
2023-05,Dispatch,1D,2592
2023-05,Dispatch,2D,2360
2023-05,Dispatch,3D,3265
2023-05,Dispatch,4D,3075
2023-05,Dispatch,5D,1942
2023-05,Dispatch,6D,2797
2023-05,Dispatch,OOC,1
2023-05,Match,1D,324
2023-05,Match,2D,320
2023-05,Match,3D,325
2023-05,Match,4D,300
2023-05,Match,5D,182
2023-05,Match,6D,232
2023-05,Match,Unknown,4
2023-06,Crime,1D,25
2023-06,Crime,2D,24
2023-06,Crime,3D,30
2023-06,Crime,4D,23
2023-06,Crime,5D,18
2023-06,Crime,6D,25
2023-06,Crime,TPPD,72
2023-06,Crime,Unknown,1
2023-06,Dispatch,1D,2559
2023-06,Dispatch,2D,2475
2023-06,Dispatch,3D,3129
2023-06,Dispatch,4D,3153
2023-06,Dispatch,5D,1971
2023-06,Dispatch,6D,2876
2023-06,Match,1D,313
2023-06,Match,2D,317
2023-06,Match,3D,285
2023-06,Match,4D,204
2023-06,Match,5D,157
2023-06,Match,6D,219
2023-06,Match,Unknown,1
2023-07,Crime,1D,27
2023-07,Crime,2D,23
2023-07,Crime,3D,38
2023-07,Crime,4D,29
2023-07,Crime,5D,21
2023-07,Crime,6D,25
2023-07,Crime,TPPD,57
2023-07,Dispatch,1D,2703
2023-07,Dispatch,2D,2448
2023-07,Dispatch,3D,3308
2023-07,Dispatch,4D,3384
2023-07,Dispatch,5D,1942
2023-07,Dispatch,6D,2927
2023-07,Dispatch,OOC,2
2023-07,Match,1D,247
2023-07,Match,2D,249
2023-07,Match,3D,331
2023-07,Match,4D,273
2023-07,Match,5D,130
2023-07,Match,6D,208
2023-07,Match,TPPD,1
2023-07,Match,Unknown,1
2023-08,Crime,1D,14
2023-08,Crime,2D,16
2023-08,Crime,3D,35
2023-08,Crime,4D,24
2023-08,Crime,5D,21
2023-08,Crime,6D,21
2023-08,Crime,TPPD,74
2023-08,Crime,Unknown,2
2023-08,Dispatch,1D,2690
2023-08,Dispatch,2D,2457
2023-08,Dispatch,3D,3352
2023-08,Dispatch,4D,3136
2023-08,Dispatch,5D,1872
2023-08,Dispatch,6D,2928
2023-08,Dispatch,OOC,2
2023-08,Match,1D,279
2023-08,Match,2D,242
2023-08,Match,3D,289
2023-08,Match,4D,263
2023-08,Match,5D,143
2023-08,Match,6D,240
2023-08,Match,Unknown,3
2023-09,Crime,1D,23
2023-09,Crime,2D,12
2023-09,Crime,3D,40
2023-09,Crime,4D,23
2023-09,Crime,5D,22
2023-09,Crime,6D,20
2023-09,Crime,TPPD,59
2023-09,Crime,Unknown,11
2023-09,Dispatch,1D,2712
2023-09,Dispatch,2D,2461
2023-09,Dispatch,3D,3239
2023-09,Dispatch,4D,3221
2023-09,Dispatch,5D,1954
2023-09,Dispatch,6D,2833
2023-09,Match,1D,238
2023-09,Match,2D,221
2023-09,Match,3D,299
2023-09,Match,4D,249
2023-09,Match,5D,125
2023-09,Match,6D,205
2023-09,Match,Unknown,66
2023-10,Crime,1D,17
2023-10,Crime,2D,18
2023-10,Crime,3D,31
2023-10,Crime,4D,48
2023-10,Crime,5D,30
2023-10,Crime,6D,28
2023-10,Crime,TPPD,54
2023-10,Dispatch,1D,2588
2023-10,Dispatch,2D,2460
2023-10,Dispatch,3D,3608
2023-10,Dispatch,4D,3309
2023-10,Dispatch,5D,2017
2023-10,Dispatch,6D,2989
2023-10,Dispatch,OOC,1
2023-10,Match,1D,201
2023-10,Match,2D,238
2023-10,Match,3D,317
2023-10,Match,4D,244
2023-10,Match,5D,189
2023-10,Match,6D,287
2023-10,Match,Unknown,7
2023-11,Crime,1D,17
2023-11,Crime,2D,24
2023-11,Crime,3D,41
2023-11,Crime,4D,41
2023-11,Crime,5D,24
2023-11,Crime,6D,32
2023-11,Crime,TPPD,65
2023-11,Dispatch,1D,2470
2023-11,Dispatch,2D,2275
2023-11,Dispatch,3D,3287
2023-11,Dispatch,4D,2971
2023-11,Dispatch,5D,1903
2023-11,Dispatch,6D,2787
2023-11,Match,1D,239
2023-11,Match,2D,225
2023-11,Match,3D,318
2023-11,Match,4D,356
2023-11,Match,5D,151
2023-11,Match,6D,238
2023-11,Match,Unknown,2
2023-12,Crime,1D,10
2023-12,Crime,2D,17
2023-12,Crime,3D,37
2023-12,Crime,4D,19
2023-12,Crime,5D,34
2023-12,Crime,6D,28
2023-12,Crime,TPPD,35
2023-12,Crime,Unknown,1
2023-12,Dispatch,1D,2438
2023-12,Dispatch,2D,2347
2023-12,Dispatch,3D,3338
2023-12,Dispatch,4D,3191
2023-12,Dispatch,5D,1945
2023-12,Dispatch,6D,2795
2023-12,Match,1D,209
2023-12,Match,2D,226
2023-12,Match,3D,309
2023-12,Match,4D,298
2023-12,Match,5D,148
2023-12,Match,6D,187
2023-12,Match,TPPD,1
2023-12,Match,Unknown,3
2024-01,Crime,1D,17
2024-01,Crime,2D,10
2024-01,Crime,3D,41
2024-01,Crime,4D,27
2024-01,Crime,5D,24
2024-01,Crime,6D,24
2024-01,Crime,TPPD,75
2024-01,Crime,Unknown,1
2024-01,Dispatch,1D,2536
2024-01,Dispatch,2D,2286
2024-01,Dispatch,3D,3138
2024-01,Dispatch,4D,3016
2024-01,Dispatch,5D,1830
2024-01,Dispatch,6D,2580
2024-01,Match,1D,207
2024-01,Match,2D,172
2024-01,Match,3D,276
2024-01,Match,4D,327
2024-01,Match,5D,132
2024-01,Match,6D,168
2024-01,Match,Unknown,3
2024-02,Crime,1D,24
2024-02,Crime,2D,12
2024-02,Crime,3D,38
2024-02,Crime,4D,34
2024-02,Crime,5D,33
2024-02,Crime,6D,20
2024-02,Crime,TPPD,101
2024-02,Crime,Unknown,3
2024-02,Dispatch,1D,2313
2024-02,Dispatch,2D,2112
2024-02,Dispatch,3D,2965
2024-02,Dispatch,4D,2893
2024-02,Dispatch,5D,1799
2024-02,Dispatch,6D,2446
2024-02,Dispatch,OOC,1
2024-02,Match,1D,225
2024-02,Match,2D,184
2024-02,Match,3D,247
2024-02,Match,4D,352
2024-02,Match,5D,101
2024-02,Match,6D,150
2024-02,Match,Unknown,5
2024-03,Crime,1D,30
2024-03,Crime,2D,26
2024-03,Crime,3D,29
2024-03,Crime,4D,41
2024-03,Crime,5D,25
2024-03,Crime,6D,30
2024-03,Crime,TPPD,88
2024-03,Dispatch,1D,2617
2024-03,Dispatch,2D,2358
2024-03,Dispatch,3D,3120
2024-03,Dispatch,4D,3045
2024-03,Dispatch,5D,1929
2024-03,Dispatch,6D,2595
2024-03,Match,1D,327
2024-03,Match,2D,237
2024-03,Match,3D,235
2024-03,Match,4D,296
2024-03,Match,5D,136
2024-03,Match,6D,124
2024-03,Match,Unknown,4
2024-04,Crime,1D,25
2024-04,Crime,2D,28
2024-04,Crime,3D,29
2024-04,Crime,4D,27
2024-04,Crime,5D,12
2024-04,Crime,6D,34
2024-04,Crime,TPPD,46
2024-04,Dispatch,1D,2548
2024-04,Dispatch,2D,2133
2024-04,Dispatch,3D,3197
2024-04,Dispatch,4D,3096
2024-04,Dispatch,5D,1914
2024-04,Dispatch,6D,2655
2024-04,Dispatch,OOC,1
2024-04,Match,1D,363
2024-04,Match,2D,205
2024-04,Match,3D,248
2024-04,Match,4D,234
2024-04,Match,5D,165
2024-04,Match,6D,144
2024-04,Match,Unknown,4
2024-05,Crime,1D,26
2024-05,Crime,2D,18
2024-05,Crime,3D,23
2024-05,Crime,4D,36
2024-05,Crime,5D,21
2024-05,Crime,6D,28
2024-05,Crime,TPPD,71
2024-05,Dispatch,1D,2838
2024-05,Dispatch,2D,2436
2024-05,Dispatch,3D,3686
2024-05,Dispatch,4D,3256
2024-05,Dispatch,5D,2102
2024-05,Dispatch,6D,2915
2024-05,Match,1D,337
2024-05,Match,2D,257
2024-05,Match,3D,303
2024-05,Match,4D,260
2024-05,Match,5D,175
2024-05,Match,6D,176
2024-05,Match,Unknown,2
2024-06,Crime,1D,37
2024-06,Crime,2D,27
2024-06,Crime,3D,33
2024-06,Crime,4D,26
2024-06,Crime,5D,19
2024-06,Crime,6D,18
2024-06,Crime,TPPD,47
2024-06,Crime,Unknown,6
2024-06,Dispatch,1D,2622
2024-06,Dispatch,2D,2470
2024-06,Dispatch,3D,3338
2024-06,Dispatch,4D,3154
2024-06,Dispatch,5D,2067
2024-06,Dispatch,6D,2749
2024-06,Match,1D,270
2024-06,Match,2D,258
2024-06,Match,3D,323
2024-06,Match,4D,247
2024-06,Match,5D,145
2024-06,Match,6D,173
2024-06,Match,TPPD,2
2024-06,Match,Unknown,4
2024-07,Crime,1D,25
2024-07,Crime,2D,17
2024-07,Crime,3D,43
2024-07,Crime,4D,26
2024-07,Crime,5D,15
2024-07,Crime,6D,27
2024-07,Crime,TPPD,52
2024-07,Crime,Unknown,5
2024-07,Dispatch,1D,2494
2024-07,Dispatch,2D,2387
2024-07,Dispatch,3D,3429
2024-07,Dispatch,4D,3224
2024-07,Dispatch,5D,1928
2024-07,Dispatch,6D,2704
2024-07,Match,1D,330
2024-07,Match,2D,246
2024-07,Match,3D,293
2024-07,Match,4D,292
2024-07,Match,5D,111
2024-07,Match,6D,227
2024-07,Match,Unknown,10
2024-08,Crime,1D,37
2024-08,Crime,2D,19
2024-08,Crime,3D,34
2024-08,Crime,4D,38
2024-08,Crime,5D,29
2024-08,Crime,6D,25
2024-08,Crime,TPPD,57
2024-08,Crime,Unknown,3
2024-08,Dispatch,1D,2564
2024-08,Dispatch,2D,2387
2024-08,Dispatch,3D,3392
2024-08,Dispatch,4D,3248
2024-08,Dispatch,5D,1959
2024-08,Dispatch,6D,2625
2024-08,Dispatch,OOC,1
2024-08,Match,1D,311
2024-08,Match,2D,211
2024-08,Match,3D,272
2024-08,Match,4D,281
2024-08,Match,5D,109
2024-08,Match,6D,212
2024-08,Match,Unknown,9
2024-09,Crime,1D,30
2024-09,Crime,2D,31
2024-09,Crime,3D,38
2024-09,Crime,4D,50
2024-09,Crime,5D,22
2024-09,Crime,6D,32
2024-09,Crime,TPPD,53
2024-09,Crime,Unknown,1
2024-09,Dispatch,1D,2628
2024-09,Dispatch,2D,2326
2024-09,Dispatch,3D,3399
2024-09,Dispatch,4D,3193
2024-09,Dispatch,5D,1972
2024-09,Dispatch,6D,2745
2024-09,Dispatch,OOC,1
2024-09,Dispatch,PCW,1
2024-09,Match,1D,318
2024-09,Match,2D,261
2024-09,Match,3D,257
2024-09,Match,4D,284
2024-09,Match,5D,111
2024-09,Match,6D,202
2024-09,Match,Unknown,7
2024-10,Crime,1D,52
2024-10,Crime,2D,48
2024-10,Crime,3D,55
2024-10,Crime,4D,60
2024-10,Crime,5D,42
2024-10,Crime,6D,30
2024-10,Crime,TPPD,78
2024-10,Crime,Unknown,1
2024-10,Dispatch,1D,2687
2024-10,Dispatch,2D,2469
2024-10,Dispatch,3D,3763
2024-10,Dispatch,4D,3213
2024-10,Dispatch,5D,1987
2024-10,Dispatch,6D,2747
2024-10,Dispatch,OOC,1
2024-10,Match,1D,287
2024-10,Match,2D,248
2024-10,Match,3D,313
2024-10,Match,4D,320
2024-10,Match,5D,111
2024-10,Match,6D,196
2024-10,Match,Unknown,5
2024-11,Crime,1D,2
2024-11,Crime,2D,1
2024-11,Crime,3D,1
2024-11,Crime,TPPD,3
