month_year,Crime Name1,Crime Name2,count
2018-08,Crime Against Property,Theft From Motor Vehicle,317
2018-08,Crime Against Property,Theft from Building,112
2018-08,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,66
2018-08,Crime Against Property,Wire Fraud,2
2018-08,Crime Against Society,All Other Offenses,434
2018-08,Crime Against Society,Animal Cruelty,1
2018-08,Crime Against Society,Assisting or Promoting Prostitution,2
2018-08,Crime Against Society,Disorderly Conduct,47
2018-08,Crime Against Society,Driving Under the Influence,80
2018-08,Crime Against Society,Drug Equipment Violations,18
2018-08,Crime Against Society,Drug/Narcotic Violations,179
2018-08,Crime Against Society,"Family Offenses, NonViolent",5
2018-08,Crime Against Society,Liquor Law Violations,72
2018-08,Crime Against Society,Prostitution,4
2018-08,Crime Against Society,Trespass of Real Property,29
2018-08,Crime Against Society,Weapon Law Violations,17
2018-09,Crime Against Not a Crime,Runaway,16
2018-09,Crime Against Person,Aggravated Assault,22
2018-09,Crime Against Person,Forcible Fondling,18
2018-09,Crime Against Person,Forcible Rape,11
2018-09,Crime Against Person,Forcible Sodomy,3
2018-09,Crime Against Person,Intimidation,3
2018-09,Crime Against Person,Murder and Nonnegligent Manslaughter,1
2018-09,Crime Against Person,Sexual Assault With An Object,1
2018-09,Crime Against Person,Simple Assault,113
2018-09,Crime Against Property,All other Larceny,126
2018-09,Crime Against Property,Burglary/Breaking and Entering,70
2018-09,Crime Against Property,Counterfeiting/Forgery,20
2018-09,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,25
2018-09,Crime Against Property,Destruction/Damage/Vandalism of Property,181
2018-09,Crime Against Property,Embezzlement,6
2018-09,Crime Against Property,Extortion/Blackmail,3
2018-09,Crime Against Property,False Pretenses/Swindle/Confidence Game,35
2018-09,Crime Against Property,Identity Theft,22
2018-09,Crime Against Property,Impersonation,2
2018-09,Crime Against Property,Motor Vehicle Theft,45
2018-09,Crime Against Property,Pocket/picking,7
2018-09,Crime Against Property,Purse-snatching,5
2018-09,Crime Against Property,Robbery,23
2018-09,Crime Against Property,Shoplifting,92
2018-09,Crime Against Property,Theft From Motor Vehicle,261
2018-09,Crime Against Property,Theft from Building,119
2018-09,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,59
2018-09,Crime Against Property,Wire Fraud,6
2018-09,Crime Against Society,All Other Offenses,443
2018-09,Crime Against Society,Assisting or Promoting Prostitution,1
2018-09,Crime Against Society,Disorderly Conduct,37
2018-09,Crime Against Society,Driving Under the Influence,77
2018-09,Crime Against Society,Drug Equipment Violations,12
2018-09,Crime Against Society,Drug/Narcotic Violations,128
2018-09,Crime Against Society,"Family Offenses, NonViolent",2
2018-09,Crime Against Society,Liquor Law Violations,53
2018-09,Crime Against Society,Prostitution,1
2018-09,Crime Against Society,Trespass of Real Property,29
2018-09,Crime Against Society,Weapon Law Violations,8
2018-10,Crime Against Not a Crime,Runaway,14
2018-10,Crime Against Person,Aggravated Assault,20
2018-10,Crime Against Person,Forcible Fondling,11
2018-10,Crime Against Person,Forcible Rape,9
2018-10,Crime Against Person,Forcible Sodomy,5
2018-10,Crime Against Person,"Human Trafficking, Commercial Sex Acts",2
2018-10,Crime Against Person,Intimidation,3
2018-10,Crime Against Person,Kidnapping/Abduction,1
2018-10,Crime Against Person,Sexual Assault With An Object,2
2018-10,Crime Against Person,Simple Assault,128
2018-10,Crime Against Property,All other Larceny,126
2018-10,Crime Against Property,Burglary/Breaking and Entering,78
2018-10,Crime Against Property,Counterfeiting/Forgery,15
2018-10,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,20
2018-10,Crime Against Property,Destruction/Damage/Vandalism of Property,150
2018-10,Crime Against Property,Embezzlement,2
2018-10,Crime Against Property,Extortion/Blackmail,3
2018-10,Crime Against Property,False Pretenses/Swindle/Confidence Game,44
2018-10,Crime Against Property,From Coin/Operated Machine or Device,1
2018-10,Crime Against Property,Identity Theft,33
2018-10,Crime Against Property,Motor Vehicle Theft,55
2018-10,Crime Against Property,Pocket/picking,3
2018-10,Crime Against Property,Purse-snatching,2
2018-10,Crime Against Property,Robbery,22
2018-10,Crime Against Property,Shoplifting,90
2018-10,Crime Against Property,Theft From Motor Vehicle,295
2018-10,Crime Against Property,Theft from Building,121
2018-10,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,50
2018-10,Crime Against Society,All Other Offenses,464
2018-10,Crime Against Society,Assisting or Promoting Prostitution,1
2018-10,Crime Against Society,Curfew/Loitering/Vagrancy Violations,1
2018-10,Crime Against Society,Disorderly Conduct,39
2018-10,Crime Against Society,Driving Under the Influence,91
2018-10,Crime Against Society,Drug Equipment Violations,10
2018-10,Crime Against Society,Drug/Narcotic Violations,149
2018-10,Crime Against Society,"Family Offenses, NonViolent",1
2018-10,Crime Against Society,Liquor Law Violations,61
2018-10,Crime Against Society,Prostitution,1
2018-10,Crime Against Society,Trespass of Real Property,27
2018-10,Crime Against Society,Weapon Law Violations,10
2018-11,Crime Against Not a Crime,Runaway,15
2018-11,Crime Against Person,Aggravated Assault,21
2018-11,Crime Against Person,Forcible Fondling,8
2018-11,Crime Against Person,Forcible Rape,12
2018-11,Crime Against Person,Forcible Sodomy,5
2018-11,Crime Against Person,Incest,1
2018-11,Crime Against Person,Intimidation,4
2018-11,Crime Against Person,Kidnapping/Abduction,1
2018-11,Crime Against Person,Sexual Assault With An Object,6
2018-11,Crime Against Person,Simple Assault,105
2018-11,Crime Against Property,All other Larceny,125
2018-11,Crime Against Property,Burglary/Breaking and Entering,68
2018-11,Crime Against Property,Counterfeiting/Forgery,6
2018-11,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,16
2018-11,Crime Against Property,Destruction/Damage/Vandalism of Property,134
2018-11,Crime Against Property,Embezzlement,4
2018-11,Crime Against Property,False Pretenses/Swindle/Confidence Game,35
2018-11,Crime Against Property,Identity Theft,33
2018-11,Crime Against Property,Impersonation,3
2018-11,Crime Against Property,Motor Vehicle Theft,59
2018-11,Crime Against Property,Pocket/picking,5
2018-11,Crime Against Property,Purse-snatching,6
2018-11,Crime Against Property,Robbery,20
2018-11,Crime Against Property,Shoplifting,87
2018-11,Crime Against Property,Stolen Property Offenses,2
2018-11,Crime Against Property,Theft From Motor Vehicle,254
2018-11,Crime Against Property,Theft from Building,138
2018-11,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,64
2018-11,Crime Against Property,Wire Fraud,2
2018-11,Crime Against Society,All Other Offenses,441
2018-11,Crime Against Society,Animal Cruelty,1
2018-11,Crime Against Society,Assisting or Promoting Prostitution,1
2018-11,Crime Against Society,Disorderly Conduct,25
2018-11,Crime Against Society,Driving Under the Influence,108
2018-11,Crime Against Society,Drug Equipment Violations,7
2018-11,Crime Against Society,Drug/Narcotic Violations,144
2018-11,Crime Against Society,"Family Offenses, NonViolent",3
2018-11,Crime Against Society,Liquor Law Violations,21
2018-11,Crime Against Society,Prostitution,1
2018-11,Crime Against Society,Trespass of Real Property,25
2018-11,Crime Against Society,Weapon Law Violations,7
2018-12,Crime Against Not a Crime,Runaway,8
2018-12,Crime Against Person,Aggravated Assault,23
2018-12,Crime Against Person,Forcible Fondling,6
2018-12,Crime Against Person,Forcible Rape,7
2018-12,Crime Against Person,Forcible Sodomy,5
2018-12,Crime Against Person,"Human Trafficking, Commercial Sex Acts",2
2018-12,Crime Against Person,Intimidation,10
2018-12,Crime Against Person,Kidnapping/Abduction,1
2018-12,Crime Against Person,Sexual Assault With An Object,2
2018-12,Crime Against Person,Simple Assault,107
2018-12,Crime Against Property,All other Larceny,167
2018-12,Crime Against Property,Burglary/Breaking and Entering,84
2018-12,Crime Against Property,Counterfeiting/Forgery,20
2018-12,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,25
2018-12,Crime Against Property,Destruction/Damage/Vandalism of Property,155
2018-12,Crime Against Property,Embezzlement,7
2018-12,Crime Against Property,Extortion/Blackmail,3
2018-12,Crime Against Property,False Pretenses/Swindle/Confidence Game,42
2018-12,Crime Against Property,Identity Theft,47
2018-12,Crime Against Property,Impersonation,4
2018-12,Crime Against Property,Motor Vehicle Theft,32
2018-12,Crime Against Property,Pocket/picking,7
2018-12,Crime Against Property,Purse-snatching,4
2018-12,Crime Against Property,Robbery,33
2018-12,Crime Against Property,Shoplifting,78
2018-12,Crime Against Property,Theft From Motor Vehicle,238
2018-12,Crime Against Property,Theft from Building,147
2018-12,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,50
2018-12,Crime Against Property,Wire Fraud,2
2018-12,Crime Against Society,All Other Offenses,412
2018-12,Crime Against Society,Assisting or Promoting Prostitution,4
2018-12,Crime Against Society,Disorderly Conduct,30
2018-12,Crime Against Society,Driving Under the Influence,99
2018-12,Crime Against Society,Drug Equipment Violations,11
2018-12,Crime Against Society,Drug/Narcotic Violations,149
2018-12,Crime Against Society,"Family Offenses, NonViolent",5
2018-12,Crime Against Society,Liquor Law Violations,23
2018-12,Crime Against Society,Pornography/Obscene Material,2
2018-12,Crime Against Society,Prostitution,3
2018-12,Crime Against Society,Trespass of Real Property,30
2018-12,Crime Against Society,Weapon Law Violations,13
2019-01,Crime Against Not a Crime,Runaway,17
2019-01,Crime Against Person,Aggravated Assault,19
2019-01,Crime Against Person,Forcible Fondling,16
2019-01,Crime Against Person,Forcible Rape,12
2019-01,Crime Against Person,Forcible Sodomy,4
2019-01,Crime Against Person,Intimidation,3
2019-01,Crime Against Person,Murder and Nonnegligent Manslaughter,2
2019-01,Crime Against Person,Sexual Assault With An Object,5
2019-01,Crime Against Person,Simple Assault,85
2019-01,Crime Against Property,All other Larceny,94
2019-01,Crime Against Property,Arson,1
2019-01,Crime Against Property,Burglary/Breaking and Entering,63
2019-01,Crime Against Property,Counterfeiting/Forgery,23
2019-01,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,24
2019-01,Crime Against Property,Destruction/Damage/Vandalism of Property,116
2019-01,Crime Against Property,Embezzlement,3
2019-01,Crime Against Property,Extortion/Blackmail,2
2019-01,Crime Against Property,False Pretenses/Swindle/Confidence Game,40
2019-01,Crime Against Property,Identity Theft,61
2019-01,Crime Against Property,Impersonation,3
2019-01,Crime Against Property,Motor Vehicle Theft,47
2019-01,Crime Against Property,Pocket/picking,3
2019-01,Crime Against Property,Purse-snatching,5
2019-01,Crime Against Property,Robbery,25
2019-01,Crime Against Property,Shoplifting,81
2019-01,Crime Against Property,Theft From Motor Vehicle,249
2019-01,Crime Against Property,Theft from Building,109
2019-01,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,48
2019-01,Crime Against Property,Wire Fraud,2
2019-01,Crime Against Society,All Other Offenses,405
2019-01,Crime Against Society,Animal Cruelty,1
2019-01,Crime Against Society,Assisting or Promoting Prostitution,4
2019-01,Crime Against Society,Disorderly Conduct,16
2019-01,Crime Against Society,Driving Under the Influence,70
2019-01,Crime Against Society,Drug Equipment Violations,9
2019-01,Crime Against Society,Drug/Narcotic Violations,121
2019-01,Crime Against Society,"Family Offenses, NonViolent",5
2019-01,Crime Against Society,Liquor Law Violations,26
2019-01,Crime Against Society,Prostitution,4
2019-01,Crime Against Society,Trespass of Real Property,29
2019-01,Crime Against Society,Weapon Law Violations,9
2019-02,Crime Against Not a Crime,Runaway,19
2019-02,Crime Against Person,Aggravated Assault,10
2019-02,Crime Against Person,Forcible Fondling,8
2019-02,Crime Against Person,Forcible Rape,15
2019-02,Crime Against Person,Forcible Sodomy,7
2019-02,Crime Against Person,"Human Trafficking, Commercial Sex Acts",1
2019-02,Crime Against Person,Intimidation,3
2019-02,Crime Against Person,Sexual Assault With An Object,3
2019-02,Crime Against Person,Simple Assault,78
2019-02,Crime Against Person,Statuory Rape,1
2019-02,Crime Against Property,All other Larceny,80
2019-02,Crime Against Property,Burglary/Breaking and Entering,59
2019-02,Crime Against Property,Counterfeiting/Forgery,17
2019-02,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,22
2019-02,Crime Against Property,Destruction/Damage/Vandalism of Property,125
2019-02,Crime Against Property,Embezzlement,6
2019-02,Crime Against Property,Extortion/Blackmail,1
2019-02,Crime Against Property,False Pretenses/Swindle/Confidence Game,50
2019-02,Crime Against Property,Identity Theft,37
2019-02,Crime Against Property,Impersonation,2
2019-02,Crime Against Property,Motor Vehicle Theft,32
2019-02,Crime Against Property,Pocket/picking,3
2019-02,Crime Against Property,Purse-snatching,1
2019-02,Crime Against Property,Robbery,18
2019-02,Crime Against Property,Shoplifting,73
2019-02,Crime Against Property,Theft From Motor Vehicle,226
2019-02,Crime Against Property,Theft from Building,82
2019-02,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,47
2019-02,Crime Against Property,Wire Fraud,3
2019-02,Crime Against Society,All Other Offenses,343
2019-02,Crime Against Society,Assisting or Promoting Prostitution,4
2019-02,Crime Against Society,Disorderly Conduct,36
2019-02,Crime Against Society,Driving Under the Influence,81
2019-02,Crime Against Society,Drug Equipment Violations,12
2019-02,Crime Against Society,Drug/Narcotic Violations,120
2019-02,Crime Against Society,"Family Offenses, NonViolent",7
2019-02,Crime Against Society,Liquor Law Violations,35
2019-02,Crime Against Society,Prostitution,5
2019-02,Crime Against Society,Trespass of Real Property,28
2019-02,Crime Against Society,Weapon Law Violations,8
2019-03,Crime Against Not a Crime,Runaway,18
2019-03,Crime Against Person,Aggravated Assault,16
2019-03,Crime Against Person,Forcible Fondling,7
2019-03,Crime Against Person,Forcible Rape,6
2019-03,Crime Against Person,Forcible Sodomy,4
2019-03,Crime Against Person,Incest,1
2019-03,Crime Against Person,Intimidation,2
2019-03,Crime Against Person,Kidnapping/Abduction,1
2019-03,Crime Against Person,Simple Assault,104
2019-03,Crime Against Person,Statuory Rape,1
2019-03,Crime Against Property,All other Larceny,104
